Title:,"Time Series, Area-Averaged of Upwelling longwave flux at toa (clear sky and no aerosol) monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2003-12-01T00:00:00Z
User End Date:,2023-12-31T23:59:59Z
User Bounding Box:,"-125.1514,37.0385,-116.3623,42.268"
Data Bounding Box:,
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2003-12-01T00:00:00Z&endtime=2023-12-31T23:59:59Z&shape=tl_2014_us_state/shp_13&bbox=-125.1514,37.0385,-116.3623,42.268&data=M2TMNXRAD_5_12_4_LWTUPCLRCLN&dataKeyword=NO2&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXRAD_5_12_4_LWTUPCLRCLN):, 1000000000000000
first,second
time, mean_M2TMNXRAD_5_12_4_LWTUPCLRCLN
12/1/03 0:00,242.805817
1/1/04 0:00,242.91333
2/1/04 0:00,242.815018
3/1/04 0:00,260.107361
4/1/04 0:00,264.889984
5/1/04 0:00,270.744263
6/1/04 0:00,284.540375
7/1/04 0:00,297.328003
8/1/04 0:00,293.714172
9/1/04 0:00,285.38031
10/1/04 0:00,264.831238
11/1/04 0:00,252.344879
12/1/04 0:00,247.965805
1/1/05 0:00,242.4785
2/1/05 0:00,247.701172
3/1/05 0:00,253.644714
4/1/05 0:00,254.801056
5/1/05 0:00,265.103943
6/1/05 0:00,274.682129
7/1/05 0:00,303.090424
8/1/05 0:00,298.605957
9/1/05 0:00,282.54361
10/1/05 0:00,266.99646
11/1/05 0:00,255.603577
12/1/05 0:00,244.79599
1/1/06 0:00,242.856262
2/1/06 0:00,249.287857
3/1/06 0:00,240.203064
4/1/06 0:00,253.192001
5/1/06 0:00,270.285889
6/1/06 0:00,283.959229
7/1/06 0:00,299.537964
8/1/06 0:00,297.264008
9/1/06 0:00,286.592255
10/1/06 0:00,268.666412
11/1/06 0:00,252.435547
12/1/06 0:00,245.67717
1/1/07 0:00,245.812515
2/1/07 0:00,245.76004
3/1/07 0:00,256.491791
4/1/07 0:00,258.326935
5/1/07 0:00,274.570343
6/1/07 0:00,285.346649
7/1/07 0:00,296.769806
8/1/07 0:00,296.729675
9/1/07 0:00,284.865204
10/1/07 0:00,264.166779
11/1/07 0:00,259.990662
12/1/07 0:00,240.695068
1/1/08 0:00,239.778091
2/1/08 0:00,246.126968
3/1/08 0:00,250.757523
4/1/08 0:00,258.352295
5/1/08 0:00,270.098969
6/1/08 0:00,286.541107
7/1/08 0:00,303.559082
8/1/08 0:00,296.522614
9/1/08 0:00,290.753265
10/1/08 0:00,270.670074
11/1/08 0:00,257.378448
12/1/08 0:00,243.760971
1/1/09 0:00,251.600006
2/1/09 0:00,244.155029
3/1/09 0:00,248.725693
4/1/09 0:00,258.445862
5/1/09 0:00,271.394043
6/1/09 0:00,277.534241
7/1/09 0:00,298.045471
8/1/09 0:00,292.90332
9/1/09 0:00,288.653839
10/1/09 0:00,264.301483
11/1/09 0:00,253.953293
12/1/09 0:00,241.972519
1/1/10 0:00,242.844406
2/1/10 0:00,244.563538
3/1/10 0:00,248.720261
4/1/10 0:00,251.970184
5/1/10 0:00,258.42807
6/1/10 0:00,276.805573
7/1/10 0:00,300.181366
8/1/10 0:00,297.055725
9/1/10 0:00,287.29425
10/1/10 0:00,264.74118
11/1/10 0:00,249.724838
12/1/10 0:00,241.881821
1/1/11 0:00,245.739044
2/1/11 0:00,244.554031
3/1/11 0:00,243.576706
4/1/11 0:00,251.810135
5/1/11 0:00,259.043549
6/1/11 0:00,274.95224
7/1/11 0:00,295.515686
8/1/11 0:00,299.687225
9/1/11 0:00,287.338684
10/1/11 0:00,267.867371
11/1/11 0:00,250.304947
12/1/11 0:00,248.521408
1/1/12 0:00,247.295197
2/1/12 0:00,246.599731
3/1/12 0:00,247.653839
4/1/12 0:00,256.691376
5/1/12 0:00,271.952789
6/1/12 0:00,280.718109
7/1/12 0:00,300.994598
8/1/12 0:00,301.351349
9/1/12 0:00,291.48114
10/1/12 0:00,269.70105
11/1/12 0:00,253.961365
12/1/12 0:00,240.442627
1/1/13 0:00,244.306534
2/1/13 0:00,247.000427
3/1/13 0:00,252.704544
4/1/13 0:00,263.786743
5/1/13 0:00,270.679504
6/1/13 0:00,285.712769
7/1/13 0:00,299.831757
8/1/13 0:00,289.651428
9/1/13 0:00,282.050873
10/1/13 0:00,269.63147
11/1/13 0:00,256.255859
12/1/13 0:00,247.72258
1/1/14 0:00,254.508041
2/1/14 0:00,247.849747
3/1/14 0:00,254.831772
4/1/14 0:00,260.055481
5/1/14 0:00,272.38324
6/1/14 0:00,287.921265
7/1/14 0:00,293.881714
8/1/14 0:00,289.25824
9/1/14 0:00,286.726044
10/1/14 0:00,272.81189
11/1/14 0:00,254.522263
12/1/14 0:00,246.648438
1/1/15 0:00,250.660477
2/1/15 0:00,256.461761
3/1/15 0:00,260.803345
4/1/15 0:00,260.420746
5/1/15 0:00,266.868469
6/1/15 0:00,288.669861
7/1/15 0:00,287.922333
8/1/15 0:00,290.855713
9/1/15 0:00,283.962708
10/1/15 0:00,273.281677
11/1/15 0:00,250.174667
12/1/15 0:00,241.45636
1/1/16 0:00,243.082428
2/1/16 0:00,252.702255
3/1/16 0:00,251.421677
4/1/16 0:00,260.996399
5/1/16 0:00,268.47757
6/1/16 0:00,285.979675
7/1/16 0:00,298.781616
8/1/16 0:00,298.778107
9/1/16 0:00,284.22644
10/1/16 0:00,262.323425
11/1/16 0:00,253.581665
12/1/16 0:00,242.487686
1/1/17 0:00,239.621765
2/1/17 0:00,244.272858
3/1/17 0:00,252.263016
4/1/17 0:00,254.136612
5/1/17 0:00,271.488739
6/1/17 0:00,285.211487
7/1/17 0:00,303.205505
8/1/17 0:00,294.606354
9/1/17 0:00,279.684509
10/1/17 0:00,275.324066
11/1/17 0:00,253.814987
12/1/17 0:00,251.499542
1/1/18 0:00,247.070557
2/1/18 0:00,248.338058
3/1/18 0:00,247.170197
4/1/18 0:00,257.97171
5/1/18 0:00,269.154663
6/1/18 0:00,287.802948
7/1/18 0:00,297.137451
8/1/18 0:00,296.08725
9/1/18 0:00,287.539062
10/1/18 0:00,269.808624
11/1/18 0:00,257.311676
12/1/18 0:00,244.553787
1/1/19 0:00,245.798462
2/1/19 0:00,237.306244
3/1/19 0:00,247.553391
4/1/19 0:00,259.685028
5/1/19 0:00,263.227081
6/1/19 0:00,282.344238
7/1/19 0:00,291.452698
8/1/19 0:00,296.680054
9/1/19 0:00,281.445496
10/1/19 0:00,269.76947
11/1/19 0:00,258.557861
12/1/19 0:00,244.707886
1/1/20 0:00,244.295792
2/1/20 0:00,252.187515
3/1/20 0:00,248.004425
4/1/20 0:00,259.455261
5/1/20 0:00,269.809326
6/1/20 0:00,282.488434
7/1/20 0:00,299.533325
8/1/20 0:00,295.544281
9/1/20 0:00,294.334625
10/1/20 0:00,282.659332
11/1/20 0:00,256.084595
12/1/20 0:00,249.131561
1/1/21 0:00,244.751602
2/1/21 0:00,246.972214
3/1/21 0:00,250.988129
4/1/21 0:00,266.84787
5/1/21 0:00,274.271027
6/1/21 0:00,291.644318
7/1/21 0:00,301.402191
8/1/21 0:00,298.125732
9/1/21 0:00,290.324249
10/1/21 0:00,262.793213
11/1/21 0:00,256.770172
12/1/21 0:00,243.784073
1/1/22 0:00,249.620193
2/1/22 0:00,254.136063
3/1/22 0:00,254.190079
4/1/22 0:00,257.825073
5/1/22 0:00,268.246552
6/1/22 0:00,282.949036
7/1/22 0:00,299.871277
8/1/22 0:00,298.70755
9/1/22 0:00,288.578094
10/1/22 0:00,276.627655
11/1/22 0:00,250.348984
12/1/22 0:00,241.212708
1/1/23 0:00,242.652161
2/1/23 0:00,242.166
